timestamp,pid,process,current_kbps,avg_kbps,classification,resolved_host
2026-03-30 10:14:55,23940,msedge.exe,274.6,117.3,Video/Download (CDN),r.cloudfront.net
2026-03-30 10:14:57,23940,msedge.exe,1300.0,192.7,Video/Download (CDN),r.cloudfront.net
2026-03-30 10:14:59,23940,msedge.exe,487.6,206.8,Video/Download (CDN),r.cloudfront.net
2026-03-30 10:15:01,23940,msedge.exe,1313.6,338.1,Video/Download (CDN),r.cloudfront.net
2026-03-30 10:15:03,23940,msedge.exe,97.9,354.2,Video/Download (CDN),r.cloudfront.net
2026-03-30 10:15:05,23940,msedge.exe,7.8,327.6,Video/Download (CDN),r.cloudfront.net
2026-03-31 09:42:38,10704,code.exe,9.0,18.0,Web Browsing (Low traffic),0,
2026-03-31 09:42:38,7212,msedge.exe,2.7,0.7,Web Browsing (Low traffic),0,
2026-03-31 09:42:42,10704,code.exe,9.0,14.8,Web Browsing (Low traffic),0,
2026-03-31 09:42:44,7212,msedge.exe,1.8,1.0,Dev/Download (GitHub),0,lb-140-82-114-26-iad.github.com
2026-03-31 09:42:46,10704,code.exe,9.0,18.5,Web Browsing (Low traffic),0,
2026-03-31 09:42:50,10704,code.exe,7.2,16.0,Web Browsing (Low traffic),0,
2026-03-31 09:42:52,7212,msedge.exe,3797.9,380.5,Dev/Download (GitHub),0,lb-140-82-114-26-iad.github.com
2026-03-31 09:42:54,7212,msedge.exe,3.6,438.9,Dev/Download (GitHub),0,lb-140-82-114-26-iad.github.com
2026-03-31 09:42:56,7212,msedge.exe,9106.5,1643.6,Dev/Download (GitHub),0,lb-140-82-114-26-iad.github.com
2026-03-31 09:42:58,7212,msedge.exe,7.8,1646.3,Cloud/Download (AWS),0,compute-1.amazonaws.com
2026-03-31 09:43:00,10704,code.exe,9.0,22.7,Light Web Browsing,0,
2026-03-31 09:43:08,7212,msedge.exe,26.9,63.4,Cloud/Download (AWS),0,compute-1.amazonaws.com
2026-03-31 09:43:10,7212,msedge.exe,122.5,55.2,Cloud/Download (AWS),0,compute-1.amazonaws.com
2026-03-31 09:43:12,7212,msedge.exe,221.3,77.3,Cloud/Download (AWS),0,compute-1.amazonaws.com
2026-03-31 09:43:12,10704,code.exe,66.2,11.3,Web Browsing (Low traffic),0,
2026-03-31 09:43:14,7212,msedge.exe,63.6,52.0,Cloud/Download (AWS),0,compute-1.amazonaws.com
2026-03-31 09:43:16,7212,msedge.exe,1166.4,179.9,Cloud/Download (AWS),0,compute-1.amazonaws.com
2026-03-31 09:43:16,10704,code.exe,68.0,13.4,Web Browsing (Low traffic),0,
