timestamp,rtt_ms
0.03,31.13
0.57,32.0
1.19,103.99
1.72,30.08
2.27,47.02
2.83,46.35
3.38,31.01
3.93,46.38
4.47,27.63
5.02,50.8
5.56,26.21
6.08,9.17
6.7,112.53
7.23,25.51
7.75,9.08
8.26,9.26
8.8,31.0
9.33,11.19
9.86,29.02
10.4,25.92
10.93,26.41
11.45,16.98
11.97,9.52
12.5,31.0
13.05,31.47
13.56,9.15
14.09,31.61
14.64,31.0
15.15,9.0
15.68,31.57
16.24,47.19
16.79,31.22
17.33,30.77
17.92,76.09
18.51,91.1
